x,y,z
-101.603616,168.136091,1.664885
-101.592658,168.439190,1.664393
-101.581412,168.739017,1.663910
-101.570347,169.034680,1.663501
-101.560382,169.325872,1.663176
-101.553300,169.613041,1.662943
-101.550792,169.896718,1.662872
-101.554063,170.177218,1.663063
-101.564458,170.454711,1.663538
-101.583319,170.729017,1.664129
-101.611250,170.999277,1.664764
-101.648842,171.264613,1.665611
-101.697286,171.524701,1.666549
-101.757373,171.779127,1.667453
-101.829222,172.027418,1.668224
-101.912203,172.269732,1.668104
-102.004096,172.507315,1.666798
-102.101806,172.741899,1.664895
-102.203015,172.974769,1.662816
-102.306097,173.206821,1.660795
-102.409142,173.438811,1.659033
-102.509972,173.671405,1.657680
-102.606739,173.904978,1.656674
-102.698828,174.139094,1.655446
-102.804786,174.418431,1.653781
-102.907654,174.692724,1.652373
-103.008389,174.958887,1.651366
-103.107952,175.214198,1.650906
-103.205878,175.457075,1.650948
-103.316021,175.724155,1.651303
-103.421024,175.974388,1.651625
-103.520955,176.209450,1.651938
-103.630043,176.459910,1.652489
-103.735794,176.688811,1.653304
-103.853283,176.917350,1.654555
-103.986008,177.130331,1.656279
-104.158204,177.322113,1.658382
-104.376999,177.445855,1.660504
-104.625784,177.483945,1.661460
-104.875423,177.466303,1.661098
-105.133121,177.417348,1.659794
-105.385875,177.350261,1.658049
-105.657620,177.262660,1.655934
-105.907964,177.170181,1.653998
-106.168069,177.063979,1.652178
-106.398024,176.962831,1.650812
-106.634290,176.852835,1.649705
-106.877014,176.734186,1.648912
-107.126382,176.606981,1.648355
-107.382725,176.471493,1.647986
-107.646278,176.328138,1.647753
-107.871439,176.203079,1.647489
-108.101693,176.073362,1.647180
-108.337085,175.939444,1.646781
-108.577566,175.801601,1.646277
-108.822836,175.660050,1.645763
-109.072566,175.515035,1.645443
-109.327010,175.366632,1.645313
-109.586656,175.215085,1.645326
-109.851820,175.061133,1.645352
-110.122319,174.905848,1.645295
-110.342128,174.781343,1.645198
-110.564588,174.657092,1.645073
-110.789400,174.533543,1.644922
-111.016232,174.411136,1.644762
-111.244730,174.290275,1.644617
-111.474597,174.171324,1.644505
-111.705602,174.054618,1.644436
-111.937566,173.940463,1.644408
-112.170325,173.829132,1.644422
-112.403768,173.720848,1.644482
-112.637873,173.615780,1.644577
-112.872640,173.514067,1.644692
-113.108034,173.415824,1.644796
-113.344015,173.321147,1.644884
-113.580576,173.230066,1.644940
-113.817772,173.142542,1.644959
-114.055638,173.058504,1.644944
-114.294108,172.977858,1.644887
-114.533044,172.900491,1.644793
-114.772335,172.826308,1.644653
-115.071873,172.738027,1.644433
-115.371797,172.654754,1.644227
-115.671978,172.576616,1.644060
-115.972326,172.503773,1.643923
-116.272790,172.436271,1.643811
-116.573330,172.374034,1.643724
-116.873933,172.316970,1.643655
-117.174603,172.264972,1.643597
-117.475328,172.217909,1.643549
-117.776086,172.175622,1.643476
-118.076906,172.137694,1.643341
-118.377844,172.103447,1.643190
-118.678932,172.072504,1.643065
-118.980232,172.044808,1.642959
-119.281780,172.020206,1.642872
-119.583578,171.998496,1.642810
