x,y
-101.522388,120.297146
-101.537826,120.585811
-101.552834,120.874462
-101.567408,121.163096
-101.581549,121.451696
-101.595254,121.740259
-101.608522,122.028814
-101.621351,122.317367
-101.633735,122.605919
-101.645675,122.894496
-101.657153,123.183094
-101.668132,123.471697
-101.678603,123.760299
-101.688594,124.048911
-101.698127,124.337509
-101.707215,124.626093
-101.715874,124.914699
-101.724129,125.203323
-101.731994,125.491952
-101.739479,125.780592
-101.746599,126.069255
-101.753373,126.357950
-101.759812,126.646663
-101.765921,126.935395
-101.771719,127.224130
-101.777225,127.512861
-101.782439,127.801626
-101.787350,128.090416
-101.791955,128.379177
-101.796247,128.667948
-101.800214,128.956750
-101.803853,129.245550
-101.807171,129.534373
-101.810174,129.823226
-101.812879,130.112040
-101.815308,130.400812
-101.817473,130.689608
-101.819376,130.978406
-101.821023,131.267155
-101.822418,131.555880
-101.823562,131.844604
-101.824457,132.133287
-101.825110,132.421943
-101.825527,132.710606
-101.825719,132.999228
-101.825692,133.287822
-101.825453,133.576463
-101.825011,133.865147
-101.824373,134.153847
-101.823545,134.442578
-101.822528,134.731360
-101.821319,135.020185
-101.819909,135.309040
-101.818287,135.597905
-101.816447,135.886685
-101.814385,136.175360
-101.812097,136.464072
-101.809580,136.752845
-101.806838,137.041599
-101.803890,137.330335
-101.800741,137.619125
-101.797388,137.907964
-101.793836,138.196813
-101.790103,138.485671
-101.786193,138.774552
-101.782098,139.063438
-101.777817,139.352320
-101.773353,139.641216
-101.768702,139.930145
-101.763865,140.219103
-101.758840,140.508087
-101.753628,140.797100
-101.748218,141.086131
-101.742595,141.375159
-101.736741,141.664188
-101.730633,141.953231
-101.724234,142.242308
-101.717484,142.531424
-101.710354,142.820578
-101.702878,143.109772
-101.695062,143.399010
-101.686872,143.688294
-101.678330,143.977622
-101.669508,144.266992
-101.660446,144.556400
-101.651168,144.845846
-101.641714,145.135324
-101.632123,145.424830
-101.622418,145.714359
-101.612606,146.003906
-101.602695,146.293463
-101.592697,146.583021
-101.582626,146.872553
-101.572496,147.162043
-101.562322,147.451456
-101.552116,147.740768
-101.541883,148.030025
-101.531623,148.319222
-101.521342,148.608308
-101.511052,148.897296
-101.500772,149.186232
-101.490526,149.475105
-101.480341,149.763901
-101.470241,150.052633
-101.460251,150.341275
-101.450409,150.629815
-101.440728,150.918316
-101.431208,151.206760
-101.421865,151.495112
-101.412711,151.783425
-101.403757,152.071730
-101.395005,152.360003
-101.386453,152.648243
-101.378099,152.936461
-101.369949,153.224540
-101.362017,153.512418
-101.354303,153.800296
-101.346760,154.088241
-101.339241,154.376210
-101.331549,154.664250
-101.323469,154.952419
-101.314770,155.240713
-101.305225,155.529107
-101.294643,155.817577
-101.282892,156.106052
-101.269891,156.394522
-101.255603,156.683057
-101.240066,156.971639
-101.223387,157.260278
-101.205718,157.549072
-101.187260,157.838089
-101.168253,158.127351
-101.148910,158.416914
-101.129407,158.706829
-101.109970,158.997043
-101.090879,159.287568
-101.072422,159.578545
-101.054885,159.869991
-101.038558,160.161845
-101.023718,160.454104
-101.010613,160.746758
-100.999489,161.039749
-100.990620,161.333014
-100.984255,161.626496
-100.980478,161.920066
-100.979307,162.213565
-100.980768,162.507110
-100.984817,162.800803
-100.991389,163.094555
-101.000486,163.388317
-101.012122,163.682085
-101.026228,163.975778
-101.042694,164.269326
-101.061410,164.562707
-101.082244,164.855886
-101.105056,165.148928
-101.129527,165.442057
-101.154955,165.735502
-101.180561,166.029449
-101.205697,166.324057
-101.229757,166.619449
-101.252203,166.915700
-101.272624,167.212855
-101.290702,167.510946
-101.306216,167.809864
-101.319042,168.109570
-101.329147,168.410384
-101.337197,168.712161
-101.345460,169.014024
-101.356794,169.315129
-101.373450,169.614899
-101.397398,169.912620
-101.430552,170.207506
-101.474421,170.498805
-101.530045,170.785627
-101.598034,171.067174
-101.678522,171.342971
-101.771339,171.612591
-101.876203,171.875551
-101.992705,172.131468
-102.120319,172.380037
-102.258495,172.620925
-102.406676,172.853844
-102.564297,173.078621
-102.730884,173.294978
-102.906087,173.502407
-103.089584,173.700578
-103.281031,173.889487
-103.479976,174.068947
-103.685896,174.238539
-103.898335,174.398032
-104.116863,174.547334
-104.341015,174.686274
-104.570368,174.814711
-104.804555,174.932653
-105.043222,175.040173
-105.286049,175.137338
-105.532782,175.224261
-105.783274,175.301190
-106.037459,175.368440
-106.295244,175.426260
-106.556457,175.474826
-106.820905,175.514230
-107.088458,175.544429
-107.359060,175.565315
-107.632738,175.576779
-107.909380,175.578739
-108.188631,175.571166
-108.470172,175.554157
-108.753824,175.527962
-109.039400,175.492816
-109.326678,175.448860
-109.615491,175.396198
-109.905679,175.334909
-110.197008,175.265012
-110.489211,175.186502
-110.782002,175.099342
-111.075009,175.003428
-111.367859,174.898704
-111.601819,174.808623
-111.835332,174.713017
-112.068245,174.611993
-112.300427,174.505702
-112.531837,174.394376
-112.762542,174.278414
-112.992669,174.158474
-113.222372,174.035387
-113.451833,173.909953
-113.681224,173.782897
-113.910684,173.654924
-114.140332,173.526732
-114.370278,173.398944
-114.600616,173.272106
-114.831425,173.146731
-115.062754,173.023328
-115.294647,172.902390
-115.527140,172.784388
-115.760235,172.669764
-115.993634,172.558908
-116.226650,172.452143
-116.458867,172.349707
